AuthorTag,Author
ABYI,"#Name Limeng Zhang #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China; College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Xue Zhou #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Ziyao Fan #Affiliation College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Wei Tang #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Liang Chen #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Jian Dai #Affiliation College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Yuhua Wei #Affiliation College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Jianxin Zhang #Affiliation College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Xuan Yang #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Xijing Yang #Affiliation College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Daolong Liu #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Liquan Yu #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Hua Zhang #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Zhijun Wu #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Yongzhong Yu #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Hunan Sun #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. #Name Yudong Cui #Affiliation College of Life Science and Technology, HeiLongJiang BaYi Agricultural University, Daqing 163319, China; College of Animal Science and Veterinary Medicine, HeiLongJiang BaYi Agricultural University, Daqing 163319, China. Electronic address: cuiyudong@yahoo.com. #Reference 25936577"
ABYJ,"#Name Heng Wang #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Rongchang Liu #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Jin Cui #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Shengchao Deng #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Jiexiong Xie #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Zhangyong Nin #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. #Name Guihong Zhang #Affiliation College of Veterinary Medicine, South China Agricultural University, Guangzhou, Guangdong Province 510642, People's Republic of China; Guangdong Provincial Key Laboratory of Prevention and Control for Severe Clinical Animal Diseases, Guangzhou, Guangdong Province 510642, People's Republic of China; MOA Key Laboratory of Animal Vaccine Development, Guangzhou, Guangdong Province 510642, People's Republic of China. Electronic address: guihongzh@scau.edu.cn. #Reference 25944706"
ABYK,"#Name Zhijin Chen #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri 64108, United States. #Name Wei Jin #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri 64108, United States. #Name Hao Liu #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri 64108, United States. #Name Zhen Zhao #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri 64108, United States. #Name Kun Cheng #Affiliation Division of Pharmaceutical Sciences, School of Pharmacy, University of Missouri-Kansas City, 2464 Charlotte Street, Kansas City, Missouri 64108, United States. #Reference 25955351"
ABYL,"#Name Jinmei Yu #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Rengong Zhuo #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Peng Peng #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Xiaoyan Liu #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Haitao Yan #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Shuzhuo Zhang #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Jianquan Zheng #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. #Name Xiaoli Wei #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. Electronic address: weixl@bmi.ac.cn. #Name Xiaoyun Ma #Affiliation State Key Laboratory of Toxicology and Medical Countermeasures, Department of Biochemical Pharmacology, Beijing Institute of Pharmacology and Toxicology, Beijing 100850, PR China. Electronic address: maxyer22@yahoo.com. #Reference 25998380"
ABYM,"#Name Lin Yang #Affiliation Department of Rheumatology and Immunology, Peking University Third Hospital, No.49, HuaYuan (North) Road, Beijing, 100191, People's Republic of China. hellmirage@hotmail.com. #Name Rui Xing #Affiliation Department of Rheumatology and Immunology, Peking University Third Hospital, No.49, HuaYuan (North) Road, Beijing, 100191, People's Republic of China. hedxxr1987@163.com. #Name Changhong Li #Affiliation Department of Rheumatology and Immunology, Peking University Third Hospital, No.49, HuaYuan (North) Road, Beijing, 100191, People's Republic of China. lichanghong@bjumu.edu.cn. #Name Yuan Liu #Affiliation Department of Rheumatology, the First Affiliated Hospital of Baotou Medical College, No.41, LinYin Road, Baotou, 014010, People's Republic of China. liuyuanem@163.com. #Name Lin Sun #Affiliation Department of Rheumatology and Immunology, Peking University Third Hospital, No.49, HuaYuan (North) Road, Beijing, 100191, People's Republic of China. slin@163.com. #Name Xiangyuan Liu #Affiliation Department of Rheumatology and Immunology, Peking University Third Hospital, No.49, HuaYuan (North) Road, Beijing, 100191, People's Republic of China. liuxiangyuan2014@hotmail.com. #Name Yongfu Wang #Affiliation Department of Rheumatology, the First Affiliated Hospital of Baotou Medical College, No.41, LinYin Road, Baotou, 014010, People's Republic of China. wyf5168@hotmail.com. #Reference 26033236"
ABYN,"#Name Zhiping Liu #Affiliation Beijing Key Laboratory of Biodiversity and Organic Farming, College of Resources and Environmental Sciences, China Agricultural University, Beijing 100193, China. #Name Jianfeng Liu #Affiliation Beijing Key Laboratory of Biodiversity and Organic Farming, College of Resources and Environmental Sciences, China Agricultural University, Beijing 100193, China. #Name Kai Wang #Affiliation Beijing Key Laboratory of Biodiversity and Organic Farming, College of Resources and Environmental Sciences, China Agricultural University, Beijing 100193, China. #Name Wenhui Li #Affiliation Guangdong Institute for Cereal Science Research, Guangzhou 510050, China. #Name Weilin L Shelver #Affiliation USDA-ARS Biosciences Research Laboratory, Fargo, ND 58102, USA. #Name Qing X Li #Affiliation Department of Molecular Biosciences and Bioengineering, University of Hawaii at Manoa, Honolulu, HI 96822, USA. #Name Ji Li #Affiliation Beijing Key Laboratory of Biodiversity and Organic Farming, College of Resources and Environmental Sciences, China Agricultural University, Beijing 100193, China. #Name Ting Xu #Affiliation Beijing Key Laboratory of Biodiversity and Organic Farming, College of Resources and Environmental Sciences, China Agricultural University, Beijing 100193, China. Electronic address: xuting@cau.edu.cn. #Reference 26048649"
ABYO,"#Name Brady J Summers #Affiliation School of Biological Sciences, University of Missouri-Kansas City, Kansas City, MO 64110, United States. #Name Brandon L Garcia #Affiliation Department of Biochemistry & Molecular Biophysics, Kansas State University, Manhattan, KS 66506, United States. #Name Jordan L Woehl #Affiliation Department of Biochemistry & Molecular Biophysics, Kansas State University, Manhattan, KS 66506, United States. #Name Kasra X Ramyar #Affiliation Department of Biochemistry & Molecular Biophysics, Kansas State University, Manhattan, KS 66506, United States. #Name Xiaolan Yao #Affiliation School of Biological Sciences, University of Missouri-Kansas City, Kansas City, MO 64110, United States. #Name Brian V Geisbrecht #Affiliation School of Biological Sciences, University of Missouri-Kansas City, Kansas City, MO 64110, United States; Department of Biochemistry & Molecular Biophysics, Kansas State University, Manhattan, KS 66506, United States. Electronic address: geisbrechtb@k-state.edu. #Reference 26052070"
ABYP,"#Name Ana Maria Villamil Giraldo #Affiliation Université de Montréal, Pavillon Roger-Gaudry, Department of Biochemistry and Molecular Medicine, C.P. 6128, Succ. Centre-Ville, Montréal, QC H3C 3J7, Canada. #Name Charline Mary #Affiliation Université de Montréal, Pavillon Roger-Gaudry, Department of Biochemistry and Molecular Medicine, C.P. 6128, Succ. Centre-Ville, Montréal, QC H3C 3J7, Canada. #Name Durgajini Sivanesan #Affiliation Université de Montréal, Pavillon Roger-Gaudry, Department of Biochemistry and Molecular Medicine, C.P. 6128, Succ. Centre-Ville, Montréal, QC H3C 3J7, Canada. #Name Christian Baron #Affiliation Université de Montréal, Pavillon Roger-Gaudry, Department of Biochemistry and Molecular Medicine, C.P. 6128, Succ. Centre-Ville, Montréal, QC H3C 3J7, Canada. Electronic address: christian.baron@umontreal.ca. #Reference 26071378"
ABYQ,"#Name Felix Hanßke #Affiliation Department of Chemistry, Humboldt-Universität zu Berlin, Brook-Taylor-Straße 2, 12489, Berlin, Germany. #Name Erhard Kemnitz #Affiliation Department of Chemistry, Humboldt-Universität zu Berlin, Brook-Taylor-Straße 2, 12489, Berlin, Germany. #Name Hans G Börner #Affiliation Department of Chemistry, Humboldt-Universität zu Berlin, Brook-Taylor-Straße 2, 12489, Berlin, Germany. #Reference 26058474"
ABYR,"#Name Joerg Kahle #Name Aleksander Orlowski #Name Diana Stichel #Name Karin Becker-Peters #Name Ali Kabiri #Name John F Healey #Name Kerstin Brettschneider #Name Anja Naumann #Name Anna K Scherger #Name Pete Lollar #Name Dirk Schwabe #Name Christoph Königs #Affiliation Christoph Königs, MD PhD, University Hospital Frankfurt, Department of Paediatrics, Clinical and Molecular Haemostasis, Theodor-Stern-Kai 7, 60596 Frankfurt am Main, Germany, Tel.: +49 69 6301 83030, Fax: +49 69 6301 83991, E-mail: christoph.koenigs@kgu.de. #Reference 25520269"
ABYS,"#Name Xinjie Wang #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Qin Zhao #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Lu Dang #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China College of Animal Science and Veterinary Medicine, Henan Agricultural University, Zhengzhou, Henan, China. #Name Yani Sun #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Jiming Gao #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Baoyuan Liu #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Shahid Faraz Syed #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China. #Name Hu Tao #Affiliation College of Science, Northwest A&F University, Yangling, Shaanxi, China. #Name Gaiping Zhang #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China College of Animal Science and Veterinary Medicine, Henan Agricultural University, Zhengzhou, Henan, China. #Name Jianxun Luo #Affiliation State Key Laboratory of Veterinary Etiological Biology, Lanzhou Veterinary Research Institute, Chinese Academy of Agricultural Sciences, Lanzhou, Gansu, China. #Name En-Min Zhou #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northwest A&F University, Yangling, Shaanxi, China Experimental Station of Veterinary Pharmacology and Veterinary Biotechnology, China Ministry of Agriculture, Yangling, Shaanxi, China zhouem@nwsuaf.edu.cn. #Reference 25741007"
ABYT,"#Name Yan Ding #Affiliation Department of Immunology, Bengbu Medical College, and Anhui Key Laboratory of Infection and Immunity, Bengbu Medical College, Bengbu, Anhui, China Clinical Laboratory, The Second Affiliated Hospital of Southeast University, Nanjing, Jiangsu, China. #Name Fei Ma #Affiliation Department of Immunology, Bengbu Medical College, and Anhui Key Laboratory of Infection and Immunity, Bengbu Medical College, Bengbu, Anhui, China. #Name Zhaohua Wang #Affiliation The Infectious Disease Hospital of Bengbu City, Bengbu, Anhui, China. #Name Baiqing Li #Affiliation Department of Immunology, Bengbu Medical College, and Anhui Key Laboratory of Infection and Immunity, Bengbu Medical College, Bengbu, Anhui, China baiqingli@bbmc.edu.cn. #Reference 25947144"
ABYU,"#Name Michael D Brasino #Affiliation Materials Science and Engineering Program, University of Colorado, Boulder, USA. #Name Jennifer N Cha #Reference 26040578"
ABYV,"#Name Aleksandr Sverzhinsky #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name Jacqueline W Chung #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name Justin C Deme #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name Lucien Fabre #Affiliation Department of Anatomy and Cell Biology, McGill University, Montreal, QC, Canada. #Name Kristian T Levey #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name Maria Plesa #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name David M Carter #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name Patrick Lypaczewski #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada. #Name James W Coulton #Affiliation Department of Microbiology and Immunology, McGill University, Montreal, QC, Canada Microbiome and Disease Tolerance Centre, McGill University, Montreal, QC, Canada james.coulton@mcgill.ca. #Reference 25802296"
ABYW,"#Name Carmen Burtea #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Sophie Laurent #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Deborah Crombez #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Sébastien Delcambre #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Corine Sermeus #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Isabelle Millard #Affiliation Center for Diabetes Research, Université Libre de Bruxelles, Route de Lennik 808, 1070, Brussels, Belgium. #Name Sandrine Rorive #Affiliation Department of Pathology, Erasme Hospital, Université Libre de Bruxelles, Route de Lennik 808, 1070, Brussels, Belgium. #Name Daisy Flamez #Affiliation Center for Diabetes Research, Université Libre de Bruxelles, Route de Lennik 808, 1070, Brussels, Belgium. #Name Marie-Claire Beckers #Affiliation Eurogentec S.A., Liège Science Park, Rue du Bois Saint-Jean 5, B-4102, Seraing, Belgium. #Name Isabelle Salmon #Affiliation Department of Pathology, Erasme Hospital, Université Libre de Bruxelles, Route de Lennik 808, 1070, Brussels, Belgium. #Name Luce Vander Elst #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Name Decio L Eizirik #Affiliation Center for Diabetes Research, Université Libre de Bruxelles, Route de Lennik 808, 1070, Brussels, Belgium. #Name Robert N Muller #Affiliation Department of General, Organic and Biomedical Chemistry, NMR and Molecular Imaging Laboratory, University of Mons, Avenue Maistriau 19, Mendeleev Building, B-7000, Mons, Belgium. #Reference 25930968"
ABYX,"#Name Siqingaowa Suo #Affiliation Department of Preventive Veterinary Medicine, College of Veterinary Medicine, Northeast Agricultural University, 59 Mucai Street, Xiangfang District, Harbin, 150030, China, gaowa1128@sina.com. #Name Xue Wang #Name Dante Zarlenga #Name Ri-E Bu #Name Yudong Ren #Name Xiaofeng Ren #Reference 26013256"
ABYY,"#Name Joel Vega-Rodriguez #Affiliation The W. Harry Feinstone Department of Molecular Microbiology and Immunology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA. #Name Davinia Perez-Barreto #Affiliation Departamento de Patología Animal, Producción Animal, Bromatología y Tecnología de los Alimentos Campus Universitario de Arucas - Facultad de Veterinaria, Universidad de Las Palmas de Gran Canarias, Gran Canarias, Spain. #Name Antonio Ruiz-Reyes #Affiliation Departamento de Patología Animal, Producción Animal, Bromatología y Tecnología de los Alimentos Campus Universitario de Arucas - Facultad de Veterinaria, Universidad de Las Palmas de Gran Canarias, Gran Canarias, Spain. #Name Marcelo Jacobs-Lorena #Affiliation The W. Harry Feinstone Department of Molecular Microbiology and Immunology, Bloomberg School of Public Health, Johns Hopkins University, Baltimore, MD, USA. #Reference 25944054"
ABYZ,"#Name Dan Zhang #Affiliation Department of Gastroenterology, The First Affiliated Hospital of Medical School, Xian Jiaotong University, Xi'an, 710061, China. zhangdan.124@stu.xjtu.edu.cn. #Name Huan Jia #Affiliation Department of General Surgery, The First Affiliated Hospital of Xi'an Medical University, Xi'an, 710077, Shaanxi, China. aerogle@stu.xjtu.edu.cn. #Name Yan Wang #Affiliation Institute for Biomedical Sciences of Pain, Tangdu Hospital, The Fourth Military Medical University, Xi'an, 710038, Shaanxi, China. wangxiaoyan2148@163.com. #Name Wei-Ming Li #Affiliation Department of General Surgery, The First Affiliated Hospital of Medical School, Xian Jiaotong University, Xi'an, 710061, Shaanxi, China. v84239141@hotmail.com. #Name Ying-Chun Hou #Affiliation College of Life Science, Shaanxi Normal University, Xi'an, 710119, Shaanxi, China. ychhou@snnu.edu.cn. #Name Shi-Wei Yin #Affiliation College of Chemistry and Chemical Engineering, Shaanxi Normal University, Xi'an, 710119, Shaanxi, China. yin_sw@snnu.edu.cn. #Name Thomas D Wang #Affiliation Division of Gastroenterology and Hepatology, Department of Medicine, School of Medicine, University of Michigan Ann Arbor, Ann Arbor, MI, 48109, USA. thomaswa@med.umich.edu. #Name Shui-Xiang He #Affiliation Department of Gastroenterology, The First Affiliated Hospital of Medical School, Xian Jiaotong University, Xi'an, 710061, China. hesx123@126.com. #Name Shao-Ying Lu #Affiliation Department of General Surgery, The First Affiliated Hospital of Medical School, Xian Jiaotong University, Xi'an, 710061, Shaanxi, China. robertlu@mail.xjtu.edu.cn. #Reference 26140900"
ABZA,"#Name Greyciele R Almeida #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil; Laboratório de Virologia Animal, Departamento de Microbiologia, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: greyci_almeid@hotmail.com. #Name Luiz Ricardo Goulart #Affiliation Instituto de Genética e Bioquímica, Universidade Federal de Uberlândia, Uberlândia, MG, Brazil. Electronic address: lrgoulart@ufu.br. #Name Jair P Cunha-Junior #Affiliation Instituto de Ciências Biomédicas, Universidade Federal de Uberlândia, Uberlândia, MG, Brazil. Electronic address: jair.cunha.junior@gmail.com. #Name Luiz A M Bataus #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: bataus@ufg.br. #Name Greice Japolla #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil; Laboratório de Virologia Animal, Departamento de Microbiologia, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: gre_vet@hotmail.com. #Name Wilia M E D Brito #Affiliation Laboratório de Virologia Animal, Departamento de Microbiologia, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: wilia@hotmail.com. #Name Ivan T N Campos #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: ivan@icb.ufg.br. #Name Cristina Ribeiro #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: cris.lino@gmail.com. #Name Guilherme R L Souza #Affiliation Departamento de Bioquímica e Biologia Molecular, Instituto de Ciências Biológicas, Universidade Federal de Goiás, Goiânia, GO, Brazil. Electronic address: grlino@gmail.com. #Reference 26267086"
ABZB,"#Name Jeremy G Warren #Affiliation Department of Plant Pathology, University of California, Davis, 95616, CA, USA. #Name George W Kasun #Affiliation Department of Plant Pathology, University of California, Davis, 95616, CA, USA. #Name Takara Leonard #Affiliation Department of Plant Pathology, University of California, Davis, 95616, CA, USA. #Name Bruce C Kirkpatrick #Affiliation Department of Plant Pathology, University of California, Davis, 95616, CA, USA. #Reference 26177065"
ABZC,"#Name Emília R Vaz #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Patrícia T Fujimura #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Galber R Araujo #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Carlos A T da Silva #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Rangel L Silva #Affiliation Department of Pharmacology, School of Medicine of Ribeirão Preto, University of São Paulo, Ribeirão Preto, São Paulo, Brazil. #Name Thiago M Cunha #Affiliation Department of Pharmacology, School of Medicine of Ribeirão Preto, University of São Paulo, Ribeirão Preto, São Paulo, Brazil. #Name Mônica Lopes-Ferreira #Affiliation Immunoregulation Unit, Special Laboratory of Applied Toxicology (CEPID/FAPESP), Butantan Institute, São Paulo, São Paulo State, Brazil. #Name Carla Lima #Affiliation Immunoregulation Unit, Special Laboratory of Applied Toxicology (CEPID/FAPESP), Butantan Institute, São Paulo, São Paulo State, Brazil. #Name Márcio J Ferreira #Affiliation Immunoregulation Unit, Special Laboratory of Applied Toxicology (CEPID/FAPESP), Butantan Institute, São Paulo, São Paulo State, Brazil. #Name Jair P Cunha-Junior #Affiliation Laboratory of Immunotechnology and Immunochemistry, Institute of Biomedical Sciences, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Ernesto A Taketomi #Affiliation Laboratory of Immunotechnology and Immunochemistry, Institute of Biomedical Sciences, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Name Luiz R Goulart #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil; Department of Medical Microbiology and Immunology, University of California Davis, Davis, CA, United States of America. #Name Carlos Ueira-Vieira #Affiliation Laboratory of Nanobiotechnology Institute of Genetics and Biochemistry, Federal University of Uberlândia, Uberlândia, Minas Gerais, Brazil. #Reference 26312490"
ABZD,"#Name Chung-Tao Tang #Affiliation Graduate Institute of Life Sciences, National Defense Medical Center, Taipei, Taiwan; Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name Pi-Chun Li #Affiliation Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name I-Ju Liu #Affiliation Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name Mei-Ying Liao #Affiliation Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name Chiung-Yi Chiu #Affiliation Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Name Day-Yu Chao #Affiliation Graduate Institute of Microbiology and Public Health, College of Veterinary Medicine, National Chung Hsing University, Taichung, Taiwan. #Name Han-Chung Wu #Affiliation Graduate Institute of Life Sciences, National Defense Medical Center, Taipei, Taiwan; Institute of Cellular and Organismic Biology, Academia Sinica, Taipei, Taiwan. #Reference 26135599"
